relpath,action,chunks,changes_chars,notes
site/content/about.md,updated,1,3,
site/content/activities/40-popular-sunday-school-songs.md,updated,4,12714,
site/content/activities/action-songs-for-kids-for-sunday-school.md,updated,4,6486,
site/content/activities/action-songs-for-kids-sunday-school.md,updated,4,7023,
site/content/activities/best-vacation-bible-school-songs.md,updated,4,7611,
site/content/activities/best-vbs-theme-songs.md,updated,5,7305,
site/content/activities/bible-songs-for-kids-for-sunday-school.md,updated,5,8233,
site/content/activities/bible-songs-for-preschoolers-for-sunday-school.md,updated,4,9152,
site/content/activities/bible-story-songs-for-sunday-school.md,updated,4,5380,
site/content/activities/children-s-choir-songs-for-christmas.md,updated,5,8638,
site/content/activities/children-s-choir-songs-for-easter.md,updated,6,8273,
site/content/activities/children-s-choir-songs-for-sunday-school.md,updated,5,7214,
site/content/activities/children-s-church-songs-for-christmas.md,updated,4,7658,
site/content/activities/children-s-church-songs-for-easter.md,updated,7,8325,
site/content/activities/children-s-church-songs-for-sunday-school.md,updated,5,8629,
site/content/activities/children-s-ministry-christmas-songs.md,updated,6,10709,
site/content/activities/children-s-ministry-music-for-sunday-school.md,updated,4,7127,
site/content/activities/christian-christmas-songs-with-motions.md,updated,5,10151,
site/content/activities/christian-kids-playlist-for-sunday-school.md,updated,5,6412,
site/content/activities/christian-kids-songs-for-easter.md,updated,5,8063,
site/content/activities/christian-lullabies-for-kids-for-sunday-school.md,updated,4,7803,
site/content/activities/christian-preschool-songs-for-christmas.md,updated,6,11883,
site/content/activities/christian-songs-with-motions-for-sunday-school.md,updated,5,7592,
site/content/activities/christmas-action-songs-for-kids.md,updated,5,8724,
site/content/activities/christmas-bible-songs-for-kids.md,updated,5,5924,
site/content/activities/christmas-bible-songs-for-preschoolers.md,updated,5,13451,
site/content/activities/christmas-bible-songs.md,updated,6,11915,
site/content/activities/christmas-bible-story-songs.md,updated,6,10369,
site/content/activities/christmas-children-s-choir-songs.md,updated,5,9603,
site/content/activities/christmas-children-s-church-songs.md,updated,4,6272,
site/content/activities/christmas-children-s-ministry-music.md,updated,5,6574,
site/content/activities/christmas-christian-kids-playlist.md,updated,6,11247,
site/content/activities/christmas-christian-lullabies-for-kids.md,updated,3,7365,
site/content/activities/christmas-christian-songs-with-motions.md,updated,5,13423,
site/content/activities/christmas-christmas-songs-for-kids.md,updated,7,7945,
site/content/activities/christmas-easter-songs-for-kids.md,updated,6,9865,
site/content/activities/christmas-kids-christian-music.md,updated,5,8449,
site/content/activities/christmas-kids-church-music.md,updated,5,8286,
site/content/activities/christmas-kids-devotional-songs.md,updated,5,8953,
site/content/activities/christmas-kids-faith-songs.md,updated,6,7254,
site/content/activities/christmas-kids-gospel-music.md,updated,5,10424,
site/content/activities/christmas-kids-hymns.md,updated,4,8082,
site/content/activities/christmas-kids-memory-verse-songs.md,updated,5,7522,
site/content/activities/christmas-kids-praise-songs.md,updated,6,10050,
site/content/activities/christmas-kids-spiritual-songs.md,updated,4,8242,
site/content/activities/christmas-kids-worship-music.md,updated,6,10481,
site/content/activities/christmas-preschool-christian-songs.md,updated,6,11767,
site/content/activities/christmas-scripture-songs.md,updated,5,13215,
site/content/activities/christmas-songs-for-kids-app.md,updated,6,7885,
site/content/activities/christmas-songs-for-kids-cd.md,updated,5,10087,
site/content/activities/christmas-songs-for-kids-christian.md,updated,5,11922,
site/content/activities/christmas-songs-for-kids-church.md,updated,6,9948,
site/content/activities/christmas-songs-for-kids-deck-the-halls.md,updated,6,11525,
site/content/activities/christmas-songs-for-kids-for-babies.md,updated,5,11267,
site/content/activities/christmas-songs-for-kids-for-children.md,updated,6,10508,
site/content/activities/christmas-songs-for-kids-for-church.md,updated,6,9581,
site/content/activities/christmas-songs-for-kids-for-home.md,updated,6,12389,
site/content/activities/christmas-songs-for-kids-for-kids.md,updated,6,10502,
site/content/activities/christmas-songs-for-kids-for-preschoolers.md,updated,6,11984,
site/content/activities/christmas-songs-for-kids-for-sunday-school.md,updated,4,6164,
site/content/activities/christmas-songs-for-kids-for-toddlers.md,updated,4,6067,
site/content/activities/christmas-songs-for-kids-for-worship.md,updated,6,10355,
site/content/activities/christmas-songs-for-kids-in-english.md,updated,5,10979,
site/content/activities/christmas-songs-for-kids-interactive.md,updated,6,12699,
site/content/activities/christmas-songs-for-kids-jingle-bells.md,updated,3,3760,
site/content/activities/christmas-songs-for-kids-list.md,updated,3,5140,
site/content/activities/christmas-songs-for-kids-lyrics.md,updated,5,8735,
site/content/activities/christmas-songs-for-kids-mp3-download.md,updated,6,10322,
site/content/activities/christmas-songs-for-kids-playlist.md,updated,5,12294,
site/content/activities/christmas-songs-for-kids-to-perform.md,updated,6,9887,
site/content/activities/christmas-songs-for-kids-videos.md,updated,7,8620,
site/content/activities/christmas-songs-for-kids-with-actions.md,updated,5,9801,
site/content/activities/christmas-songs-for-kids-with-dance.md,updated,3,6525,
site/content/activities/christmas-songs-for-kids-with-lyrics-and-action-youtube.md,updated,5,13541,
site/content/activities/christmas-songs-for-kids-with-lyrics-and-action.md,updated,5,8619,
site/content/activities/christmas-songs-for-kids-with-lyrics-playlist.md,updated,5,9729,
site/content/activities/christmas-songs-for-kids-with-lyrics.md,updated,4,8471,
site/content/activities/christmas-songs-for-kids-with-motions.md,updated,6,10175,
site/content/activities/christmas-songs-for-kids-youtube.md,updated,5,10035,
site/content/activities/christmas-sunday-school-songs.md,updated,3,7080,
site/content/activities/christmas-sunday-school-worship-songs.md,updated,6,9471,
site/content/activities/christmas-toddler-worship-songs.md,updated,5,12903,
site/content/activities/christmas-vacation-bible-school-songs.md,updated,5,10148,
site/content/activities/christmas-vbs-theme-songs.md,updated,6,11302,
site/content/activities/christmas-worship-songs-for-toddlers.md,updated,5,13313,
site/content/activities/church-easter-songs-for-kids.md,updated,6,7198,
site/content/activities/contemporary-easter-songs-for-kids.md,updated,6,10525,
site/content/activities/easter-action-songs-for-kids.md,updated,5,10410,
site/content/activities/easter-bible-songs-for-kids.md,updated,6,11593,
site/content/activities/easter-bible-songs-for-preschoolers.md,updated,4,8932,
site/content/activities/easter-bible-story-songs.md,updated,6,10001,
site/content/activities/easter-children-s-choir-songs.md,updated,4,5636,
site/content/activities/easter-children-s-church-songs.md,updated,5,6291,
site/content/activities/easter-children-s-ministry-music.md,updated,5,11683,
site/content/activities/easter-christian-kids-playlist.md,updated,4,9988,
site/content/activities/easter-christian-lullabies-for-kids.md,updated,4,10689,
site/content/activities/easter-christian-songs-with-motions.md,updated,4,6698,
site/content/activities/easter-christmas-songs-for-kids.md,updated,5,12854,
site/content/activities/easter-easter-songs-for-kids.md,updated,6,10439,
site/content/activities/easter-kids-christian-music.md,updated,5,13314,
site/content/activities/easter-kids-church-music.md,updated,6,10619,
site/content/activities/easter-kids-devotional-songs.md,updated,6,10460,
site/content/activities/easter-kids-faith-songs.md,updated,5,13601,
site/content/activities/easter-kids-gospel-music.md,updated,5,7158,
site/content/activities/easter-kids-hymns.md,updated,6,10079,
site/content/activities/easter-kids-memory-verse-songs.md,updated,5,8344,
site/content/activities/easter-kids-praise-songs.md,updated,6,10642,
site/content/activities/easter-kids-spiritual-songs.md,updated,5,9583,
site/content/activities/easter-kids-worship-music.md,updated,6,10398,
site/content/activities/easter-preschool-christian-songs.md,updated,6,10888,
site/content/activities/easter-scripture-songs.md,updated,5,9701,
site/content/activities/easter-songs-for-kids-app.md,updated,6,10579,
site/content/activities/easter-songs-for-kids-bunny.md,updated,5,11554,
site/content/activities/easter-songs-for-kids-cd.md,updated,6,10338,
site/content/activities/easter-songs-for-kids-choir.md,updated,7,7736,
site/content/activities/easter-songs-for-kids-christian.md,updated,5,9062,
site/content/activities/easter-songs-for-kids-church-lyrics.md,updated,5,9819,
site/content/activities/easter-songs-for-kids-church.md,updated,5,8549,
site/content/activities/easter-songs-for-kids-download.md,updated,6,10623,
site/content/activities/easter-songs-for-kids-for-babies.md,updated,4,6289,
site/content/activities/easter-songs-for-kids-for-children.md,updated,6,12332,
site/content/activities/easter-songs-for-kids-for-church.md,updated,5,7074,
site/content/activities/easter-songs-for-kids-for-home.md,updated,6,9537,
site/content/activities/easter-songs-for-kids-for-kids.md,updated,5,9542,
site/content/activities/easter-songs-for-kids-for-preschoolers.md,updated,5,13421,
site/content/activities/easter-songs-for-kids-for-sunday-school.md,updated,6,10469,
site/content/activities/easter-songs-for-kids-for-toddlers.md,updated,5,6944,
site/content/activities/easter-songs-for-kids-for-worship.md,updated,6,10493,
site/content/activities/easter-songs-for-kids-interactive.md,updated,6,5943,
site/content/activities/easter-songs-for-kids-lyrics.md,updated,5,9355,
site/content/activities/easter-songs-for-kids-pdf.md,updated,6,10276,
site/content/activities/easter-songs-for-kids-piano.md,updated,6,8670,
site/content/activities/easter-songs-for-kids-playlist.md,updated,6,6354,
site/content/activities/easter-songs-for-kids-sunday-school.md,updated,6,10932,
site/content/activities/easter-songs-for-kids-to-sing-at-church.md,updated,6,7156,
site/content/activities/easter-songs-for-kids-video.md,updated,6,10712,
site/content/activities/easter-songs-for-kids-videos.md,updated,5,9256,
site/content/activities/easter-songs-for-kids-with-actions.md,updated,5,10481,
site/content/activities/easter-songs-for-kids-with-hand-motions-youtube.md,updated,4,7952,
site/content/activities/easter-songs-for-kids-with-hand-motions.md,updated,4,5719,
site/content/activities/easter-songs-for-kids-with-lyrics.md,updated,4,5072,
site/content/activities/easter-songs-for-kids-with-motions.md,updated,5,6514,
site/content/activities/easter-songs-for-kids-youtube.md,updated,6,10570,
site/content/activities/easter-songs-for-sunday-school.md,updated,5,10824,
site/content/activities/easter-sunday-school-songs.md,updated,6,9361,
site/content/activities/easter-sunday-school-worship-songs.md,updated,6,10192,
site/content/activities/easter-toddler-worship-songs.md,updated,6,10754,
site/content/activities/easter-vacation-bible-school-songs.md,updated,4,7826,
site/content/activities/easter-vbs-theme-songs.md,updated,4,6301,
site/content/activities/easter-worship-song-ideas.md,updated,5,12154,
site/content/activities/easter-worship-songs-for-toddlers.md,updated,5,13589,
site/content/activities/easy-christmas-songs-for-kids.md,updated,6,10119,
site/content/activities/easy-easter-songs-for-kids.md,updated,5,8407,
site/content/activities/easy-easter-worship-songs.md,updated,6,6288,
site/content/activities/easy-sunday-school-songs.md,updated,5,9447,
site/content/activities/easy-vacation-bible-school-songs.md,updated,6,10502,
site/content/activities/easy-vbs-theme-songs.md,updated,5,7541,
site/content/activities/fun-christmas-songs-for-kids.md,updated,5,6658,
site/content/activities/fun-easter-songs-for-kids.md,updated,6,10700,
site/content/activities/fun-sunday-school-songs.md,updated,6,8183,
site/content/activities/fun-vacation-bible-school-songs.md,updated,4,7229,
site/content/activities/fun-vbs-theme-songs.md,updated,3,8017,
site/content/activities/funny-vacation-bible-school-songs.md,updated,5,8886,
site/content/activities/kids-christian-music-for-sunday-school.md,updated,4,7127,
site/content/activities/kids-christmas-hymns.md,updated,5,10881,
site/content/activities/kids-church-music-for-sunday-school.md,updated,4,5500,
site/content/activities/kids-devotional-songs-for-sunday-school.md,updated,6,10715,
site/content/activities/kids-easter-hymns.md,updated,6,9716,
site/content/activities/kids-faith-songs-for-sunday-school.md,updated,6,9386,
site/content/activities/kids-gospel-music-for-sunday-school.md,updated,4,7123,
site/content/activities/kids-hymns-for-sunday-school.md,updated,5,8495,
site/content/activities/kids-memory-verse-songs-for-sunday-school.md,updated,6,10672,
site/content/activities/kids-spiritual-songs-for-sunday-school.md,updated,4,6034,
site/content/activities/list-of-sunday-school-songs-pdf.md,updated,4,7611,
site/content/activities/list-of-sunday-school-songs.md,updated,5,7553,
site/content/activities/old-sunday-school-songs-with-actions.md,updated,4,6762,
site/content/activities/old-vbs-songs-playlist.md,updated,4,5968,
site/content/activities/old-vbs-songs.md,updated,5,10320,
site/content/activities/peaceful-christmas-songs-for-kids.md,updated,4,6232,
site/content/activities/peaceful-easter-songs-for-kids.md,updated,6,10129,
site/content/activities/peaceful-sunday-school-songs.md,updated,5,7475,
site/content/activities/peaceful-vacation-bible-school-songs.md,updated,4,7121,
site/content/activities/peaceful-vbs-theme-songs.md,updated,4,7904,
site/content/activities/popular-christmas-songs-for-kids.md,updated,5,6983,
site/content/activities/popular-sunday-school-songs.md,updated,7,8197,
site/content/activities/popular-vbs-theme-songs.md,updated,5,8279,
site/content/activities/praise-christmas-songs-for-kids.md,updated,7,7014,
site/content/activities/praise-easter-songs-for-kids.md,updated,6,12675,
site/content/activities/preschool-christian-songs-for-sunday-school.md,updated,5,10218,
site/content/activities/simple-christmas-songs-for-kids.md,updated,5,7137,
site/content/activities/simple-easter-songs-for-kids.md,updated,6,10496,
site/content/activities/simple-easter-songs-for-sunday-school.md,updated,7,8424,
site/content/activities/simple-sunday-school-songs.md,updated,5,5582,
site/content/activities/simple-vacation-bible-school-songs.md,updated,6,10777,
site/content/activities/simple-vbs-theme-songs.md,updated,6,10900,
site/content/activities/sunday-school-bible-songs.md,updated,4,7050,
site/content/activities/sunday-school-christian-songs-telugu.md,updated,5,6715,
site/content/activities/sunday-school-songs-2022.md,updated,4,7309,
site/content/activities/sunday-school-songs-about-forgiveness.md,updated,6,10031,
site/content/activities/sunday-school-songs-about-prayer.md,updated,5,7908,
site/content/activities/sunday-school-songs-about-the-holy-spirit.md,updated,4,6465,
site/content/activities/sunday-school-songs-app.md,updated,6,8934,
site/content/activities/sunday-school-songs-cd.md,updated,6,7898,
site/content/activities/sunday-school-songs-chords-pdf.md,updated,4,5084,
site/content/activities/sunday-school-songs-chords.md,updated,6,8912,
site/content/activities/sunday-school-songs-for-adults.md,updated,5,9182,
site/content/activities/sunday-school-songs-for-babies.md,updated,6,8129,
site/content/activities/sunday-school-songs-for-children-lyrics.md,updated,6,10334,
site/content/activities/sunday-school-songs-for-children.md,updated,4,6658,
site/content/activities/sunday-school-songs-for-church.md,updated,5,8210,
site/content/activities/sunday-school-songs-for-home.md,updated,5,8507,
site/content/activities/sunday-school-songs-for-kids.md,updated,5,8096,
site/content/activities/sunday-school-songs-for-preschoolers.md,updated,3,8321,
site/content/activities/sunday-school-songs-for-sunday-school.md,updated,5,8435,
site/content/activities/sunday-school-songs-for-toddlers.md,updated,4,8012,
site/content/activities/sunday-school-songs-interactive.md,updated,3,6714,
site/content/activities/sunday-school-songs-lyrics-in-english.md,updated,6,7836,
site/content/activities/sunday-school-songs-lyrics.md,updated,3,4442,
site/content/activities/sunday-school-songs-mp3-download.md,updated,7,8709,
site/content/activities/sunday-school-songs-playlist.md,updated,5,6994,
site/content/activities/sunday-school-songs-videos.md,updated,5,9431,
site/content/activities/sunday-school-songs-with-actions.md,updated,5,6839,
site/content/activities/sunday-school-songs-with-chords.md,updated,4,6339,
site/content/activities/sunday-school-songs-with-lyrics.md,updated,5,10152,
site/content/activities/sunday-school-songs-with-motions.md,updated,5,8886,
site/content/activities/sunday-school-songs-youtube.md,updated,6,7532,
site/content/activities/super-simple-songs-christmas-songs-for-kids-songs.md,updated,6,10226,
site/content/activities/traditional-easter-songs-for-kids.md,updated,6,7293,
site/content/activities/traditional-easter-songs-for-schools.md,updated,6,9680,
site/content/activities/vacation-bible-school-songs-1980s.md,updated,6,10035,
site/content/activities/vacation-bible-school-songs-1990s-playlist.md,updated,6,10018,
site/content/activities/vacation-bible-school-songs-1990s.md,updated,3,6602,
site/content/activities/vacation-bible-school-songs-2000s.md,updated,4,8497,
site/content/activities/vacation-bible-school-songs-2008.md,updated,4,9552,
site/content/activities/vacation-bible-school-songs-2012.md,updated,4,7139,
site/content/activities/vacation-bible-school-songs-2022.md,updated,5,6938,
site/content/activities/vacation-bible-school-songs-2024.md,updated,4,7396,
site/content/activities/vacation-bible-school-songs-2025-lyrics.md,updated,4,6494,
site/content/activities/vacation-bible-school-songs-2025.md,updated,4,6936,
site/content/activities/vacation-bible-school-songs-app.md,updated,4,5682,
site/content/activities/vacation-bible-school-songs-cd.md,updated,4,8797,
site/content/activities/vacation-bible-school-songs-church-of-christ.md,updated,4,6524,
site/content/activities/vacation-bible-school-songs-for-babies.md,updated,3,8255,
site/content/activities/vacation-bible-school-songs-for-children.md,updated,4,7363,
site/content/activities/vacation-bible-school-songs-for-church.md,updated,4,5561,
site/content/activities/vacation-bible-school-songs-for-home.md,updated,6,11562,
site/content/activities/vacation-bible-school-songs-for-kids.md,updated,5,7745,
site/content/activities/vacation-bible-school-songs-for-preschoolers.md,updated,5,10751,
site/content/activities/vacation-bible-school-songs-for-sunday-school.md,updated,4,5321,
site/content/activities/vacation-bible-school-songs-for-toddlers.md,updated,6,10406,
site/content/activities/vacation-bible-school-songs-interactive.md,updated,4,6789,
site/content/activities/vacation-bible-school-songs-lyrics-pdf.md,updated,6,10995,
site/content/activities/vacation-bible-school-songs-lyrics.md,updated,5,11171,
site/content/activities/vacation-bible-school-songs-magnify.md,updated,4,7323,
site/content/activities/vacation-bible-school-songs-playlist.md,updated,4,7245,
site/content/activities/vacation-bible-school-songs-scuba.md,updated,5,11285,
site/content/activities/vacation-bible-school-songs-videos.md,updated,4,4434,
site/content/activities/vacation-bible-school-songs-with-actions.md,updated,4,4259,
site/content/activities/vacation-bible-school-songs-with-lyrics.md,updated,6,11032,
site/content/activities/vacation-bible-school-songs-with-motions.md,updated,4,6165,
site/content/activities/vacation-bible-school-songs-youtube.md,updated,4,7040,
site/content/activities/vacation-bible-school-theme-songs.md,updated,4,8201,
site/content/activities/vbs-camping-theme-songs.md,updated,4,8242,
site/content/activities/vbs-jungle-theme-songs.md,updated,6,10289,
site/content/activities/vbs-music-theme.md,updated,4,4806,
site/content/activities/vbs-ocean-theme-songs.md,updated,3,5067,
site/content/activities/vbs-scuba-theme-songs.md,updated,4,6666,
site/content/activities/vbs-songs-2025.md,updated,4,5632,
site/content/activities/vbs-space-theme-songs.md,updated,5,8643,
site/content/activities/vbs-theme-song-2024-lyrics.md,updated,3,6323,
site/content/activities/vbs-theme-song-2025.md,updated,5,7640,
site/content/activities/vbs-theme-song-breaker-rock-beach.md,updated,4,5786,
site/content/activities/vbs-theme-song-lyrics.md,updated,4,6188,
site/content/activities/vbs-theme-song-magnified.md,updated,4,6510,
site/content/activities/vbs-theme-song-to-wonder-junction.md,updated,5,8169,
site/content/activities/vbs-theme-songs-2021.md,updated,3,6937,
site/content/activities/vbs-theme-songs-2023.md,updated,3,6225,
site/content/activities/vbs-theme-songs-2024.md,updated,2,5138,
site/content/activities/vbs-theme-songs-app.md,updated,4,8418,
site/content/activities/vbs-theme-songs-cd.md,updated,3,6513,
site/content/activities/vbs-theme-songs-for-babies.md,updated,3,6572,
site/content/activities/vbs-theme-songs-for-children.md,updated,4,6830,
site/content/activities/vbs-theme-songs-for-church.md,updated,3,5026,
site/content/activities/vbs-theme-songs-for-home.md,updated,4,8666,
site/content/activities/vbs-theme-songs-for-kids.md,updated,3,4774,
site/content/activities/vbs-theme-songs-for-preschoolers.md,updated,4,9056,
site/content/activities/vbs-theme-songs-for-sunday-school.md,updated,3,4232,
site/content/activities/vbs-theme-songs-for-toddlers.md,updated,2,3986,
site/content/activities/vbs-theme-songs-interactive.md,updated,2,4756,
site/content/activities/vbs-theme-songs-lyrics.md,updated,2,3880,
site/content/activities/vbs-theme-songs-playlist.md,updated,2,4015,
